brand,model_final,class,group,units,reason,resolved_via,sample_raw
DJI,MINI 4 PRO DISPLAY UNIT,ทั่วไป,ทั่วไป,42,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,DJI MINI 4 PRO (DJI RC 2) DISPLAY UNIT
SATI,PANYA V.1,เกษตร,เกษตร-ไม่ใช่ DJI,42,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,PANYA V.1
DJI,MINI,ทั่วไป,ทั่วไป,42,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,MINI ;; MT2PD (MINI)
DJI,L1TE,ทั่วไป,ทั่วไป,42,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,L1TE
PDA,AGRAS P1TH,เกษตร,เกษตร-ไม่ใช่ DJI,42,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,AGRAS P1TH
XIAOMI,FIMI X8 SE,ทั่วไป,ทั่วไป,41,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,FIMI X8 SE
FEIMA ROBOTICS,J.ME,ทั่วไป,ทั่วไป,41,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,J.ME
ZHONGKE,D16 / PA D16,เกษตร,เกษตร-ไม่ใช่ DJI,40,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,D16 / PA D16
HUBSAN,ZINO MINI SE,ทั่วไป,ทั่วไป,40,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,"ZINO MINI SE ;; ZINO MINI SE (DRONE), HT018F (REMOTE)"
XIAOMI,MI DRONE,ทั่วไป,ทั่วไป,40,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,MI DRONE
AUTEL ROBOTICS,EVO II PRO RTK V3,ทั่วไป,ทั่วไป,40,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,EVO II PRO RTK V3
DJI,L1DE,ทั่วไป,ทั่วไป,39,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,L1DE
DJI,T650A,ทั่วไป,ทั่วไป,39,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,T650A
KW AGRAS,KWT20,เกษตร,เกษตร-ไม่ใช่ DJI,39,ยังไม่รู้ว่าเป็นรุ่นอะไร — ช่องรุ่นเป็นรหัสที่ยังถอดไม่ได้,รหัสที่ถอดไม่ได้,KWT20
AERO DRONE,AR 11L,เกษตร,เกษตร-ไม่ใช่ DJI,37,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,AR 11L
